,gene,essential
198,SYNPCC7942_RS03290,False
199,SYNPCC7942_RS03310,True
200,SYNPCC7942_RS03350,True
201,SYNPCC7942_RS03355,False
202,SYNPCC7942_RS03360,True
203,SYNPCC7942_RS03380,False
204,Synpcc7942_0668,False
205,SYNPCC7942_RS03430,True
206,SYNPCC7942_RS03450,True
207,SYNPCC7942_RS03485,False
208,SYNPCC7942_RS03490,True
209,SYNPCC7942_RS03505,True
210,SYNPCC7942_RS03570,False
211,SYNPCC7942_RS03575,True
212,SYNPCC7942_RS03585,True
213,SYNPCC7942_RS03625,False
214,SYNPCC7942_RS03645,True
215,SYNPCC7942_RS03655,True
216,SYNPCC7942_RS03670,True
217,SYNPCC7942_RS03695,False
218,SYNPCC7942_RS04015,False
219,SYNPCC7942_RS04020,True
220,SYNPCC7942_RS04025,True
221,SYNPCC7942_RS04030,True
222,SYNPCC7942_RS04045,False
223,SYNPCC7942_RS04050,False
224,SYNPCC7942_RS04060,True
225,SYNPCC7942_RS04145,True
226,SYNPCC7942_RS04160,True
227,SYNPCC7942_RS04180,False
228,SYNPCC7942_RS04195,False
229,SYNPCC7942_RS04205,True
230,SYNPCC7942_RS04215,False
231,SYNPCC7942_RS04230,True
232,SYNPCC7942_RS04235,True
233,SYNPCC7942_RS04245,False
234,SYNPCC7942_RS04250,False
235,SYNPCC7942_RS04275,True
236,SYNPCC7942_RS04290,False
237,SYNPCC7942_RS04355,False
238,SYNPCC7942_RS04385,True
239,SYNPCC7942_RS04395,True
240,SYNPCC7942_RS04400,True
241,SYNPCC7942_RS04440,False
242,SYNPCC7942_RS04515,True
243,SYNPCC7942_RS04540,True
244,SYNPCC7942_RS04585,True
245,SYNPCC7942_RS04600,False
246,SYNPCC7942_RS04605,True
247,SYNPCC7942_RS04655,True
248,SYNPCC7942_RS04690,True
249,SYNPCC7942_RS04705,True
250,SYNPCC7942_RS04725,False
251,SYNPCC7942_RS04735,False
252,SYNPCC7942_RS04750,False
253,SYNPCC7942_RS04760,True
254,SYNPCC7942_RS04770,True
255,SYNPCC7942_RS04780,True
256,SYNPCC7942_RS04785,True
257,SYNPCC7942_RS04790,True
258,SYNPCC7942_RS04795,True
259,SYNPCC7942_RS04820,False
260,SYNPCC7942_RS04830,False
261,SYNPCC7942_RS04850,True
262,SYNPCC7942_RS04855,True
263,SYNPCC7942_RS04865,False
264,SYNPCC7942_RS04890,False
265,SYNPCC7942_RS04920,True
266,SYNPCC7942_RS04925,False
267,SYNPCC7942_RS04960,False
268,SYNPCC7942_RS04970,True
269,SYNPCC7942_RS04985,False
270,SYNPCC7942_RS05000,False
271,SYNPCC7942_RS05015,True
272,SYNPCC7942_RS05020,True
273,SYNPCC7942_RS05065,True
274,SYNPCC7942_RS13875,True
275,SYNPCC7942_RS05090,False
276,SYNPCC7942_RS05115,False
277,SYNPCC7942_RS05135,True
278,SYNPCC7942_RS05140,True
279,SYNPCC7942_RS05145,True
280,SYNPCC7942_RS05155,False
281,SYNPCC7942_RS05170,False
282,SYNPCC7942_RS05175,False
283,SYNPCC7942_RS05240,False
284,SYNPCC7942_RS05245,True
285,SYNPCC7942_RS05250,True
286,SYNPCC7942_RS05285,False
287,SYNPCC7942_RS05290,True
288,SYNPCC7942_RS05325,True
289,SYNPCC7942_RS05330,False
290,SYNPCC7942_RS05350,False
291,SYNPCC7942_RS05355,True
292,SYNPCC7942_RS05370,False
293,SYNPCC7942_RS05375,False
294,SYNPCC7942_RS05380,False
295,SYNPCC7942_RS05385,False
296,SYNPCC7942_RS05390,False
297,SYNPCC7942_RS05395,False
298,SYNPCC7942_RS05400,False
299,SYNPCC7942_RS05410,True
300,SYNPCC7942_RS05420,True
301,SYNPCC7942_RS05425,True
302,SYNPCC7942_RS05480,True
303,SYNPCC7942_RS05500,False
304,SYNPCC7942_RS05545,False
305,SYNPCC7942_RS05550,False
306,SYNPCC7942_RS05555,False
307,SYNPCC7942_RS05560,True
308,SYNPCC7942_RS05570,False
309,SYNPCC7942_RS05575,True
310,SYNPCC7942_RS05610,False
311,SYNPCC7942_RS05625,True
312,SYNPCC7942_RS05635,False
313,SYNPCC7942_RS05655,False
314,SYNPCC7942_RS05670,False
315,SYNPCC7942_RS05685,True
316,SYNPCC7942_RS05695,False
317,SYNPCC7942_RS05720,True
318,SYNPCC7942_RS05745,False
319,SYNPCC7942_RS05765,False
320,SYNPCC7942_RS05790,True
321,SYNPCC7942_RS05810,False
322,SYNPCC7942_RS05815,False
323,SYNPCC7942_RS05845,True
324,SYNPCC7942_RS05885,False
325,SYNPCC7942_RS05900,True
326,SYNPCC7942_RS05995,False
327,SYNPCC7942_RS06000,True
328,SYNPCC7942_RS13745,False
329,SYNPCC7942_RS06020,True
330,SYNPCC7942_RS06025,True
331,SYNPCC7942_RS06030,True
332,SYNPCC7942_RS06045,True
333,SYNPCC7942_RS06050,True
334,SYNPCC7942_RS06055,True
335,SYNPCC7942_RS06065,False
336,SYNPCC7942_RS06075,True
337,SYNPCC7942_RS06095,False
338,SYNPCC7942_RS06100,True
339,SYNPCC7942_RS06115,True
340,SYNPCC7942_RS06130,True
341,SYNPCC7942_RS06135,True
342,SYNPCC7942_RS06220,False
343,SYNPCC7942_RS06275,True
344,SYNPCC7942_RS06300,True
345,SYNPCC7942_RS06310,True
346,SYNPCC7942_RS06315,True
347,SYNPCC7942_RS06320,False
348,SYNPCC7942_RS06330,False
349,SYNPCC7942_RS06335,False
350,SYNPCC7942_RS06340,False
351,SYNPCC7942_RS06345,False
352,SYNPCC7942_RS06350,False
353,SYNPCC7942_RS06355,True
354,SYNPCC7942_RS06375,False
355,SYNPCC7942_RS06385,False
356,SYNPCC7942_RS06400,True
357,SYNPCC7942_RS06405,False
358,SYNPCC7942_RS06440,False
359,SYNPCC7942_RS06460,True
360,SYNPCC7942_RS06475,False
361,SYNPCC7942_RS06495,True
362,SYNPCC7942_RS06500,True
363,SYNPCC7942_RS06615,True
364,SYNPCC7942_RS06620,False
365,SYNPCC7942_RS06635,False
366,SYNPCC7942_RS06675,False
367,SYNPCC7942_RS06690,True
368,SYNPCC7942_RS06695,True
369,SYNPCC7942_RS06715,True
370,SYNPCC7942_RS06730,False
371,SYNPCC7942_RS06735,False
372,SYNPCC7942_RS06740,False
373,SYNPCC7942_RS06760,False
374,SYNPCC7942_RS06810,False
375,SYNPCC7942_RS06815,False
376,SYNPCC7942_RS06820,False
377,SYNPCC7942_RS06825,False
378,SYNPCC7942_RS06860,True
379,SYNPCC7942_RS06865,True
380,SYNPCC7942_RS06870,False
381,SYNPCC7942_RS06875,True
382,SYNPCC7942_RS06880,True
383,SYNPCC7942_RS06885,False
384,SYNPCC7942_RS06910,False
385,SYNPCC7942_RS06950,True
386,SYNPCC7942_RS06990,True
387,SYNPCC7942_RS07015,False
388,SYNPCC7942_RS07020,True
389,SYNPCC7942_RS07025,False
390,SYNPCC7942_RS07060,True
391,SYNPCC7942_RS07080,True
392,SYNPCC7942_RS07095,True
393,SYNPCC7942_RS07110,False
394,SYNPCC7942_RS07155,False
395,SYNPCC7942_RS07180,False
396,SYNPCC7942_RS07195,True
397,SYNPCC7942_RS07200,True
398,SYNPCC7942_RS07210,False
399,SYNPCC7942_RS07215,False
400,SYNPCC7942_RS07220,False
401,SYNPCC7942_RS07240,True
402,SYNPCC7942_RS07260,False
403,SYNPCC7942_RS07265,False
404,SYNPCC7942_RS07270,True
405,SYNPCC7942_RS07275,True
406,SYNPCC7942_RS07280,True
407,SYNPCC7942_RS07285,True
408,SYNPCC7942_RS07290,True
409,SYNPCC7942_RS07295,True
410,SYNPCC7942_RS07300,True
411,SYNPCC7942_RS07305,True
412,SYNPCC7942_RS07325,True
413,SYNPCC7942_RS07330,True
414,SYNPCC7942_RS07340,True
415,SYNPCC7942_RS07360,False
416,SYNPCC7942_RS07365,True
417,SYNPCC7942_RS07370,True
418,SYNPCC7942_RS07385,True
419,SYNPCC7942_RS07405,True
420,SYNPCC7942_RS07410,False
421,SYNPCC7942_RS07415,True
422,SYNPCC7942_RS07440,True
423,SYNPCC7942_RS07445,True
424,SYNPCC7942_RS07450,True
425,SYNPCC7942_RS07455,True
426,SYNPCC7942_RS07500,False
427,SYNPCC7942_RS07510,False
428,SYNPCC7942_RS07515,False
429,SYNPCC7942_RS13760,False
430,SYNPCC7942_RS07520,False
431,SYNPCC7942_RS07525,False
432,SYNPCC7942_RS07530,False
433,SYNPCC7942_RS07535,True
434,SYNPCC7942_RS07540,False
435,Synpcc7942_1478,False
436,SYNPCC7942_RS07560,True
437,SYNPCC7942_RS07570,True
438,SYNPCC7942_RS07585,True
439,SYNPCC7942_RS07605,False
440,SYNPCC7942_RS07610,False
441,SYNPCC7942_RS07615,False
442,SYNPCC7942_RS07620,False
443,SYNPCC7942_RS07630,False
444,SYNPCC7942_RS07645,True
445,SYNPCC7942_RS07670,True
446,SYNPCC7942_RS07690,True
447,SYNPCC7942_RS07705,False
448,SYNPCC7942_RS07730,True
449,SYNPCC7942_RS07735,True
450,SYNPCC7942_RS07765,True
451,SYNPCC7942_RS07820,False
452,SYNPCC7942_RS07825,False
453,SYNPCC7942_RS07830,False
454,SYNPCC7942_RS07835,False
455,SYNPCC7942_RS07915,True
456,SYNPCC7942_RS08000,False
457,SYNPCC7942_RS08020,False
458,SYNPCC7942_RS08050,False
459,SYNPCC7942_RS08055,True
460,SYNPCC7942_RS08075,False
461,SYNPCC7942_RS08110,False
462,SYNPCC7942_RS08135,True
463,SYNPCC7942_RS08140,True
464,SYNPCC7942_RS08145,True
465,SYNPCC7942_RS08150,False
466,SYNPCC7942_RS08155,True
467,SYNPCC7942_RS08205,True
468,SYNPCC7942_RS08210,True
469,SYNPCC7942_RS08215,False
470,SYNPCC7942_RS08220,False
471,SYNPCC7942_RS08225,False
472,SYNPCC7942_RS08285,True
473,SYNPCC7942_RS08350,False
474,SYNPCC7942_RS08360,True
475,SYNPCC7942_RS08420,True
476,SYNPCC7942_RS08430,False
477,SYNPCC7942_RS08445,False
478,SYNPCC7942_RS08460,False
479,SYNPCC7942_RS08475,True
480,SYNPCC7942_RS08500,True
481,SYNPCC7942_RS08505,False
482,SYNPCC7942_RS08510,False
483,SYNPCC7942_RS08515,False
484,SYNPCC7942_RS08520,False
485,SYNPCC7942_RS08550,False
486,SYNPCC7942_RS08555,False
487,SYNPCC7942_RS08560,False
488,SYNPCC7942_RS08565,False
489,SYNPCC7942_RS08570,False
490,SYNPCC7942_RS08585,False
491,SYNPCC7942_RS08590,False
492,SYNPCC7942_RS08595,False
493,SYNPCC7942_RS08600,False
494,SYNPCC7942_RS08655,True
